functional_activity,b3_class
accrued_interest_deposit,financial
advance_refunding,financial
affordable_multifamily_housing,chargeable
airport_parking_access,chargeable
airport_runway_airfield,chargeable
airport_terminal,chargeable
animal_shelter,non_chargeable
aquatic_center_pool,non_chargeable
arterial_local_roads,non_chargeable
blight_remediation,ambiguous
bridges_overpasses,non_chargeable
broadband_telecommunications,chargeable
capitalized_interest,financial
cemetery,ambiguous
charter_school_facility,non_chargeable
childcare_early_learning,ambiguous
city_county_hall,non_chargeable
civic_administrative_center,non_chargeable
combined_public_safety_facility,non_chargeable
commercial_retail_development,ambiguous
community_college_facility,non_chargeable
community_facility_center,non_chargeable
community_health_clinic,ambiguous
commuter_passenger_rail,ambiguous
convention_exhibition_center,chargeable
costs_of_issuance,financial
courthouse_justice_facility,non_chargeable
current_refunding,financial
dam_reservoir,ambiguous
debt_restructuring,financial
development_infrastructure,ambiguous
district_heating_cooling,chargeable
education_administrative_facility,non_chargeable
electric_generation,chargeable
electric_transmission_distribution,chargeable
emergency_communications_911,non_chargeable
emergency_medical_ems,ambiguous
emergency_operations_center,non_chargeable
ferry_marine_transit,ambiguous
fire_apparatus_equipment,non_chargeable
fire_station,non_chargeable
flood_control_infrastructure,non_chargeable
freight_rail,ambiguous
general_capital_equipment,non_chargeable
golf_course,chargeable
grant_anticipation,financial
higher_ed_academic_building,ambiguous
higher_ed_research_facility,ambiguous
highways_freeways,non_chargeable
homeless_services_facility,non_chargeable
industrial_development,ambiguous
information_technology_systems,non_chargeable
jail_detention_correctional,non_chargeable
judgment_litigation_settlement,financial
juvenile_facility,non_chargeable
k12_athletic_facility,non_chargeable
k12_capital_improvements_general,non_chargeable
k12_new_school_construction,non_chargeable
k12_renovation_modernization,non_chargeable
k12_technology_equipment,non_chargeable
lease_asset_acquisition,ambiguous
long_term_skilled_nursing,chargeable
marina_waterfront,chargeable
medical_equipment,ambiguous
mental_behavioral_health_facility,ambiguous
multimodal_transportation_program,ambiguous
museum_cultural_facility,ambiguous
natural_gas_utility,chargeable
neighborhood_redevelopment,ambiguous
opeb_obligation,financial
parks_open_space,non_chargeable
pension_obligation,financial
performing_arts_theater,ambiguous
police_station_facility,non_chargeable
port_infrastructure,chargeable
potable_water_supply,chargeable
public_health_laboratory,non_chargeable
public_hospital_facility,chargeable
public_housing_rehabilitation,chargeable
public_library_facility,non_chargeable
public_parking_facility,chargeable
public_safety_training_facility,non_chargeable
public_transit_bus,ambiguous
public_works_corporation_yard,non_chargeable
rail_transit_light_heavy,ambiguous
recreation_community_center,non_chargeable
recycled_water_system,chargeable
recycling_waste_facility,chargeable
reserve_fund_deposit,financial
seaport_marine_terminal,chargeable
seismic_retrofit_hazard_mitigation,non_chargeable
senior_housing,chargeable
senior_services_center,non_chargeable
sewer_collection_system,chargeable
sidewalks_streetscape,non_chargeable
single_family_homeownership,chargeable
small_business_incubator,ambiguous
social_services_office,non_chargeable
solid_waste_landfill,chargeable
sports_stadium_arena,chargeable
stormwater_drainage,ambiguous
street_lighting,non_chargeable
street_resurfacing_improvement,non_chargeable
student_housing_dormitory,chargeable
supportive_homeless_housing,ambiguous
swap_termination_payment,financial
tax_increment_project_area,ambiguous
tourism_convention_promotion,ambiguous
traffic_signals_its,non_chargeable
trails_greenways,non_chargeable
vehicles_fleet_equipment,non_chargeable
veterans_facility,non_chargeable
wastewater_treatment_plant,chargeable
water_distribution_mains,chargeable
water_treatment_plant,chargeable
workforce_job_training,non_chargeable
working_capital_operating,financial
zoo_aquarium,ambiguous
